datetime,open,high,low,close,volume,MA for 10 days,MA for 50 days,MA for 100 days,26_ema,12_ema,MACD,RSI_14D
2019-06-18 09:00:00,0.2,0.21,0.165,0.165,367703100.0,0.0,0.0,0.0,0.165,0.165,0.0,0.0
2019-06-19 09:00:00,0.17,0.175,0.16,0.16,58587100.0,0.0,0.0,0.0,0.16240384615384618,0.16229166666666667,-0.00011217948717950899,0.0
2019-06-20 09:00:00,0.16,0.165,0.15,0.155,49133900.0,0.0,0.0,0.0,0.15974371611631347,0.15944572748267896,-0.000297988633634505,0.0
2019-06-21 09:00:00,0.155,0.165,0.15,0.15,70586000.0,0.0,0.0,0.0,0.15701979888649018,0.15646408045977012,-0.0005557184267200588,0.0
2019-06-24 09:00:00,0.15,0.155,0.145,0.145,12373300.0,0.0,0.0,0.0,0.15423235794786358,0.15334933077120652,-0.0008830271766570585,0.0
2019-06-25 09:00:00,0.145,0.15,0.14,0.14,16823600.0,0.0,0.0,0.0,0.15138173016412132,0.15010474108812114,-0.0012769890760001845,0.0
2019-06-26 09:00:00,0.14,0.14,0.135,0.135,10355200.0,0.0,0.0,0.0,0.14846832437507038,0.1467341709617634,-0.001734153413306988,0.0
2019-06-27 09:00:00,0.135,0.155,0.135,0.155,58288900.0,0.0,0.0,0.0,0.14952073916223294,0.14845912207994305,-0.001061617082289884,0.0
2019-06-28 09:00:00,0.15,0.155,0.145,0.145,9911400.0,0.0,0.0,0.0,0.14885066637488786,0.14777478461208773,-0.0010758817628001294,0.0
2019-07-01 09:00:00,0.15,0.16,0.145,0.16,23455300.0,0.151,0.0,0.0,0.15038916590216897,0.1500914581768356,-0.0002977077253333571,0.0
2019-07-02 09:00:00,0.16,0.16,0.15,0.16,16378400.0,0.1505,0.0,0.0,0.15163569412937425,0.15190448241865662,0.00026878828928236786,0.0
2019-07-03 09:00:00,0.16,0.16,0.15,0.155,9727100.0,0.15,0.0,0.0,0.1520490521149685,0.15245485528246996,0.0004058031675014673,0.0
2019-07-04 09:00:00,0.155,0.155,0.14,0.145,27246500.0,0.149,0.0,0.0,0.15122325693116256,0.151160409199335,-6.284773182757553e-05,0.0
2019-07-05 09:00:00,0.145,0.15,0.145,0.145,6006700.0,0.1485,0.0,0.0,0.1505243111162653,0.15011148820351505,-0.00041282291275024363,74.11764705882354
2019-07-08 09:00:00,0.145,0.145,0.14,0.14,6401600.0,0.148,0.0,0.0,0.14938583845100753,0.14841764082678913,-0.0009681976242184032,74.46808510638299
2019-07-09 09:00:00,0.145,0.15,0.14,0.14,13617300.0,0.148,0.0,0.0,0.1484040026462097,0.14702655931081104,-0.0013774433353986593,74.11764705882354
2019-07-10 09:00:00,0.145,0.145,0.14,0.14,2664900.0,0.1485,0.0,0.0,0.14755092298656375,0.14587846670702995,-0.0016724562795338016,73.6842105263158
2019-07-11 09:00:00,0.14,0.14,0.135,0.14,6117700.0,0.147,0.0,0.0,0.14680490510815417,0.14492704804276207,-0.0018778570653920912,73.13432835820896
2019-07-12 09:00:00,0.14,0.155,0.14,0.145,15693400.0,0.147,0.0,0.0,0.14663088613894643,0.14493876144835835,-0.001692124690588076,66.66666666666667
2019-07-15 09:00:00,0.15,0.15,0.145,0.15,6343500.0,0.146,0.0,0.0,0.14694861918387697,0.14574598827015864,-0.0012026309137183333,61.643835616438345
2019-07-16 09:00:00,0.15,0.155,0.145,0.155,5049200.0,0.14550000000000002,0.0,0.0,0.14769286683672175,0.14721364259342265,-0.0004792242432991034,57.142857142857146
2019-07-17 09:00:00,0.15,0.15,0.14,0.14,8679800.0,0.14400000000000002,0.0,0.0,0.14699458197781523,0.14607499280978153,-0.0009195891680336965,45.45454545454546
2019-07-18 09:00:00,0.14,0.145,0.14,0.14,8599400.0,0.14350000000000002,0.0,0.0,0.14637010719392246,0.14511989607606868,-0.0012502111178537834,46.153846153846175
2019-07-19 09:00:00,0.14,0.145,0.14,0.14,3251500.0,0.14300000000000002,0.0,0.0,0.14580990367866795,0.14431766231962523,-0.0014922413590427175,36.36363636363636
2019-07-22 09:00:00,0.14,0.14,0.13,0.13,8437300.0,0.142,0.0,0.0,0.1444385587957542,0.14208059619431737,-0.002357962601436836,35.7142857142857
